,datahora,satelite,latitude,longitude,diasemchuva,precipitacao,riscofogo,frp
31,2013/12/06 03:49:00,NPP-375,-3.8059,-38.47754,,,,
32,2013/12/18 16:03:00,NPP-375,-3.8793,-38.51043,,,,
33,2013/04/21 15:16:23,TRMM,-3.75,-38.55,,,,
34,2013/03/13 04:11:00,NPP-375,-3.83568,-38.46332,,,,
35,2013/11/24 14:17:28,TRMM,-3.73,-38.51,,,,
0,2019/07/10 15:38:02,NOAA-20,-3.74221,-38.50643,7.0,0.0,-999.0,
1,2019/07/10 16:36:00,NPP-375,-3.82424,-38.46976,-999.0,0.0,-999.0,3.1
2,2019/08/09 03:45:16,NOAA-20,-3.85427,-38.48308,-999.0,0.0,-999.0,
3,2019/08/09 03:45:16,NOAA-20,-3.85254,-38.48327,-999.0,0.0,-999.0,
4,2019/08/27 15:37:18,NOAA-20,-3.7313,-38.53375,38.0,0.0,-999.0,
5,2019/08/26 15:54:48,NOAA-20,-3.75781,-38.57608,38.0,0.0,-999.0,
6,2019/08/26 15:54:48,NOAA-20,-3.76852,-38.55618,40.0,0.0,-999.0,
7,2019/08/22 15:30:55,NOAA-20,-3.85538,-38.54623,50.0,0.0,0.9,
8,2019/08/19 15:48:00,NPP-375,-3.80497,-38.43287,-999.0,0.0,0.8,3.9
9,2019/08/17 16:24:00,NPP-375,-3.83621,-38.53922,45.0,0.0,0.9,1.6
10,2019/08/30 15:42:00,NPP-375,-3.8393,-38.54261,58.0,0.0,1.0,4.2
11,2019/09/01 15:42:16,NOAA-20,-3.78289,-38.47321,-999.0,0.0,-999.0,
12,2019/09/01 15:42:16,NOAA-20,-3.78179,-38.46592,-999.0,0.0,-999.0,
13,2019/09/10 16:13:58,NOAA-20,-3.83097,-38.5471,69.0,0.0,0.9,
14,2019/09/20 15:48:00,NPP-375,-3.83847,-38.53488,79.0,0.0,0.9,1.8
15,2019/09/24 16:12:00,NPP-375,-3.7295,-38.46168,-999.0,0.0,-999.0,2.6
16,2019/09/24 16:12:00,NPP-375,-3.84329,-38.57546,82.0,0.0,-999.0,4.8
17,2019/09/23 15:31:23,NOAA-20,-3.85763,-38.52908,82.0,0.0,1.0,
18,2019/09/23 15:31:23,NOAA-20,-3.85924,-38.52863,82.0,0.0,1.0,
19,2019/09/29 16:18:00,NPP-375,-3.84471,-38.54543,88.0,0.0,0.9,14.1
20,2019/10/06 16:25:32,NOAA-20,-3.77633,-38.47938,-999.0,0.0,-999.0,
21,2019/09/27 15:55:16,NOAA-20,-3.82647,-38.45216,-999.0,0.0,0.9,
22,2019/09/27 04:18:00,NPP-375,-3.82623,-38.49543,-999.0,0.0,-999.0,0.7
23,2019/09/27 04:18:00,NPP-375,-3.82566,-38.49927,-999.0,0.0,-999.0,1.7
24,2019/09/27 04:18:00,NPP-375,-3.82203,-38.4948,-999.0,0.0,-999.0,0.7
25,2019/10/04 16:24:00,NPP-375,-3.8076,-38.6191,86.0,0.0,-999.0,3.0
26,2019/10/04 03:42:00,NPP-375,-3.80979,-38.44427,-999.0,0.0,0.9,1.7
27,2019/10/04 03:42:00,NPP-375,-3.81327,-38.44482,-999.0,0.0,0.9,1.7
28,2019/10/22 03:57:32,NOAA-20,-3.71976,-38.46978,-999.0,0.0,-999.0,
29,2019/10/23 16:08:16,NOAA-20,-3.71773,-38.55223,67.0,0.0,-999.0,
30,2019/10/23 16:08:16,NOAA-20,-3.84826,-38.48841,-999.0,0.0,-999.0,
31,2019/10/15 16:18:00,NPP-375,-3.844,-38.54548,104.0,0.0,0.9,6.4
32,2019/10/19 15:44:23,NOAA-20,-3.84494,-38.57352,107.0,0.0,-999.0,
33,2019/10/19 15:44:23,NOAA-20,-3.8542,-38.54225,108.0,0.1,1.0,
34,2019/10/18 16:01:53,NOAA-20,-3.86823,-38.52871,107.0,0.0,1.0,
35,2019/10/18 16:01:53,NOAA-20,-3.87054,-38.51994,107.0,0.0,-999.0,
36,2019/10/17 03:51:09,NOAA-20,-3.81428,-38.46564,-999.0,0.0,-999.0,
37,2019/10/23 03:40:02,NOAA-20,-3.71953,-38.47106,-999.0,0.0,-999.0,
38,2019/10/10 16:12:00,NPP-375,-3.76256,-38.46307,-999.0,0.0,0.9,5.7
39,2019/10/10 16:12:00,NPP-375,-3.8535,-38.54319,99.0,0.0,1.0,6.1
40,2019/10/12 15:36:00,NPP-375,-3.83416,-38.54033,101.0,0.0,1.0,9.0
41,2019/10/12 15:36:00,NPP-375,-3.7837,-38.56993,89.0,0.0,-999.0,0.8
42,2019/10/12 16:14:25,NOAA-20,-3.83577,-38.53835,101.0,0.0,1.0,
43,2019/10/25 16:30:00,NPP-375,-3.71546,-38.60865,67.0,0.0,-999.0,4.6
44,2019/10/24 15:49:21,NOAA-20,-3.87421,-38.51348,113.0,0.0,-999.0,
45,2019/11/07 16:26:00,NOAA-20,-3.84636,-38.56783,119.0,0.0,-999.0,
46,2019/11/07 16:26:00,NOAA-20,-3.84447,-38.56877,119.0,0.0,-999.0,
47,2019/11/06 16:06:00,NPP-375,-3.84008,-38.53856,120.0,0.0,-999.0,2.0
48,2019/11/03 16:02:07,NOAA-20,-3.71639,-38.55282,77.0,0.0,-999.0,
49,2019/11/03 16:02:07,NOAA-20,-3.82949,-38.46442,-999.0,0.0,-999.0,
50,2019/11/03 16:02:07,NOAA-20,-3.82884,-38.46027,-999.0,0.0,-999.0,
51,2019/11/01 16:00:00,NPP-375,-3.82342,-38.52403,120.0,0.0,-999.0,23.4
52,2019/11/01 16:00:00,NPP-375,-3.82394,-38.52749,120.0,0.0,-999.0,42.5
53,2019/11/01 15:45:00,AQUA_M-T,-3.834,-38.537,120.0,0.0,1.0,42.5
54,2019/11/01 15:45:00,AQUA_M-T,-3.831,-38.517,120.0,0.0,-999.0,34.0
55,2019/10/30 16:36:00,NPP-375,-3.76361,-38.49268,-999.0,0.0,-999.0,1.3
56,2019/10/31 16:18:00,NPP-375,-3.87532,-38.50179,120.0,0.0,-999.0,2.5
57,2019/10/31 16:18:00,NPP-375,-3.8771,-38.49844,-999.0,0.0,1.0,2.0
58,2019/10/29 15:12:00,NPP-375,-3.75172,-38.45689,-999.0,0.0,0.9,4.0
59,2019/10/29 15:55:44,NOAA-20,-3.75644,-38.45428,-999.0,0.0,0.9,
60,2019/11/13 15:36:00,NPP-375,-3.85121,-38.49212,-999.0,0.0,-999.0,2.0
